               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.025703,            0.010654,           0.0021746,             0.93687,             0.92836,             0.96686,             0.72122,            0.024689,           0.0040527,           0.0022054,            0.005644,            0.005644,            0.005644
                 134,            0.026482,            0.010939,           0.0025626,             0.95016,             0.92335,             0.96098,             0.72229,            0.025549,           0.0041528,           0.0022996,            0.005611,            0.005611,            0.005611
                 135,            0.025947,            0.010955,           0.0025622,             0.88079,             0.71397,             0.96497,             0.72445,            0.026185,            0.003957,           0.0018987,            0.005578,            0.005578,            0.005578
                 136,            0.025508,            0.010685,           0.0024151,             0.99134,             0.68668,             0.84138,             0.59343,            0.026039,           0.0041111,           0.0022386,            0.005545,            0.005545,            0.005545
                 137,            0.026014,            0.010929,           0.0026403,             0.83342,             0.95457,             0.96052,             0.70291,            0.025626,           0.0041936,           0.0030317,            0.005512,            0.005512,            0.005512
                 138,            0.026164,            0.010792,           0.0022262,             0.84753,             0.93069,             0.84385,             0.60477,             0.02499,           0.0042104,            0.001945,            0.005479,            0.005479,            0.005479
                 139,            0.025587,             0.01062,           0.0021109,             0.94842,             0.92051,             0.96974,             0.74106,            0.025461,           0.0041023,            0.002377,            0.005446,            0.005446,            0.005446
                 140,            0.025906,            0.010933,            0.002285,              0.8378,             0.91945,             0.84172,             0.57995,            0.026004,           0.0041803,           0.0021205,            0.005413,            0.005413,            0.005413
                 141,            0.025598,            0.010808,           0.0027527,             0.97028,             0.92761,             0.96846,              0.7304,            0.025379,           0.0040721,            0.002301,             0.00538,             0.00538,             0.00538
                 142,            0.025347,            0.010777,           0.0022951,             0.84254,             0.94915,             0.95761,             0.67573,            0.025674,           0.0041593,           0.0032758,            0.005347,            0.005347,            0.005347
                 143,            0.025451,            0.010565,           0.0022742,             0.89566,             0.93184,             0.96436,             0.70296,            0.025754,           0.0041801,           0.0018919,            0.005314,            0.005314,            0.005314
                 144,            0.025642,            0.010406,           0.0021567,             0.83725,             0.92862,             0.83471,             0.58828,            0.024788,           0.0041343,           0.0022568,            0.005281,            0.005281,            0.005281
                 145,            0.026093,            0.010816,           0.0024333,             0.90378,             0.92791,             0.96708,             0.73039,            0.024684,           0.0039694,           0.0028501,            0.005248,            0.005248,            0.005248
                 146,            0.025159,            0.010776,           0.0023236,             0.80211,             0.94758,             0.84747,             0.60429,            0.025521,           0.0040495,           0.0023603,            0.005215,            0.005215,            0.005215
                 147,             0.02488,            0.010586,           0.0023202,             0.94561,              0.9216,             0.95541,             0.71087,             0.02428,           0.0040604,           0.0023257,            0.005182,            0.005182,            0.005182
                 148,            0.025457,            0.010665,           0.0021184,             0.86801,             0.95619,             0.96434,             0.70749,             0.02456,           0.0039105,           0.0018874,            0.005149,            0.005149,            0.005149
                 149,            0.025603,            0.010676,           0.0025806,             0.96764,             0.67471,             0.95665,             0.66349,            0.023708,           0.0040735,           0.0025657,            0.005116,            0.005116,            0.005116
                 150,            0.025704,            0.010761,           0.0028461,             0.77064,             0.95051,             0.82959,             0.59073,            0.023627,           0.0040853,           0.0029902,            0.005083,            0.005083,            0.005083
                 151,            0.024819,             0.01026,           0.0024071,             0.77279,             0.92026,             0.83781,             0.56768,            0.024591,           0.0041655,           0.0023674,             0.00505,             0.00505,             0.00505
                 152,            0.025437,            0.010495,           0.0022811,             0.79685,             0.96918,             0.97143,             0.66308,            0.023936,           0.0040312,           0.0019075,            0.005017,            0.005017,            0.005017
                 153,            0.024992,            0.010615,           0.0021083,             0.90694,             0.92453,              0.9561,             0.65427,            0.024322,           0.0041025,           0.0033917,            0.004984,            0.004984,            0.004984
                 154,             0.02506,             0.01059,           0.0024562,              0.8837,             0.95051,              0.9698,             0.72613,            0.024832,           0.0040321,           0.0018005,            0.004951,            0.004951,            0.004951
                 155,            0.025317,            0.010688,           0.0022205,             0.86033,              0.7135,             0.96794,              0.6934,             0.02383,           0.0040327,           0.0021165,            0.004918,            0.004918,            0.004918
                 156,             0.02457,            0.010626,           0.0023527,             0.80977,             0.95381,             0.96726,             0.70577,            0.024912,            0.004074,           0.0026572,            0.004885,            0.004885,            0.004885
                 157,            0.025164,            0.010302,           0.0019673,              0.8179,             0.93752,             0.95864,             0.70824,            0.025113,           0.0039459,           0.0021003,            0.004852,            0.004852,            0.004852
                 158,            0.024832,            0.010488,           0.0023546,             0.76136,             0.94717,             0.83928,             0.58511,            0.024805,           0.0039931,           0.0015746,            0.004819,            0.004819,            0.004819
